recettore,Orario maleodoranza,Maleodoranza,Date,data_inizio,data_fine,Latitude,Longitude
R1,22:00:00-06:00:00,HC,2019-06-26 00:00:00,2019-06-26 22:00:00,2019-06-27 06:00:00,43.59087795,10.29880415
R1,04:30:00,maleodoranze,2019-06-28 00:00:00,2019-06-28 04:30:00,,43.59087795,10.29880415
R2,22:39:00,maleodoranze,2019-06-29 00:00:00,2019-06-29 22:39:00,,43.5947181,10.2973731
R1,22:41:00,HC,2019-06-29 00:00:00,2019-06-29 22:41:00,,43.59087795,10.29880415
R3,23:19:00,HC,2019-06-29 00:00:00,2019-06-29 23:19:00,,43.5887394,10.2991247
R1,05:54:00,HC,2019-06-30 00:00:00,2019-06-30 05:54:00,,43.59087795,10.29880415
R4,00:00:00-09:26:00,HC,2019-07-01 00:00:00,2019-07-01 00:00:00,2019-07-01 09:26:00,43.5947181,10.2973731
R1,08:56:00,maleodoranze,2019-07-01 00:00:00,2019-07-01 08:56:00,,43.59087795,10.29880415
R3,09:21:00,HC,2019-07-01 00:00:00,2019-07-01 09:21:00,,43.5887394,10.2991247
R5,01:00:00-02:30:00,HC,2019-07-01 00:00:00,2019-07-01 01:00:00,2019-07-01 02:30:00,43.5887394,10.2991247
R5,09:00:00,HC,2019-07-01 00:00:00,2019-07-01 09:00:00,,43.5887394,10.2991247
R1,04:52:00,HC,2019-07-02 00:00:00,2019-07-02 04:52:00,,43.59087795,10.29880415
R1,09:29:00,HC,2019-07-02 00:00:00,2019-07-02 09:29:00,,43.59087795,10.29880415
R5,01:57:00,maleodoranze,2019-07-02 00:00:00,2019-07-02 01:57:00,,43.5887394,10.2991247
R5,05:40:00,maleodoranze,2019-07-02 00:00:00,2019-07-02 05:40:00,,43.5887394,10.2991247
R6,01:04:00,HC,2019-07-02 00:00:00,2019-07-02 01:04:00,,43.5874994,10.2995666
R3,00:29:00,HC,2019-07-02 00:00:00,2019-07-02 00:29:00,,43.5887394,10.2991247
R7,03:24:00,olio/petrolio,2019-07-02 00:00:00,2019-07-02 03:24:00,,43.5887394,10.2991247
R4,07:27:00,HC bruciati,2019-07-02 00:00:00,2019-07-02 07:27:00,,43.5947181,10.2973731
R8,03:00:00,odore acre HC,2019-07-02 00:00:00,2019-07-02 03:00:00,,43.5905189,10.29942685
R9,00:00:00-23:59:00,odore petrolio o derivati,2019-07-02 00:00:00,2019-07-02 00:00:00,2019-07-02 23:59:00,43.5849032,10.3012371
R1,01:14:00,HC,2019-07-03 00:00:00,2019-07-03 01:14:00,,43.59087795,10.29880415
R2,23:52:00,HC,2019-07-03 00:00:00,2019-07-03 23:52:00,,43.5947181,10.2973731
R10,00:00:00,odore raffineria,2019-07-04 00:00:00,2019-07-04 00:00:00,,43.5887394,10.2991247
R6,01:40:00,HC,2019-07-05 00:00:00,2019-07-05 01:40:00,,43.5874994,10.2995666
R5,02:10:00,maleodoranze,2019-07-06 00:00:00,2019-07-06 02:10:00,,43.5887394,10.2991247
R1,02:05:00,maleodoranze,2019-07-06 00:00:00,2019-07-06 02:05:00,,43.59087795,10.29880415
R1,02:33:00,HC,2019-07-07 00:00:00,2019-07-07 02:33:00,,43.59087795,10.29880415
R1,07:00:00,HC,2019-07-08 00:00:00,2019-07-08 07:00:00,,43.59087795,10.29880415
R1,22:00:00,HC,2019-07-09 00:00:00,2019-07-09 22:00:00,,43.59087795,10.29880415
R1,06:31:00,HC,2019-07-10 00:00:00,2019-07-10 06:31:00,,43.59087795,10.29880415
R1,01:17:00,"maleodoranze, aria irrespirabile",2019-07-12 00:00:00,2019-07-12 01:17:00,,43.59087795,10.29880415
R1,22:17:00,HC,2019-07-14 00:00:00,2019-07-14 22:17:00,,43.5947181,10.2973731
R5,22:30:00,HC,2019-07-14 00:00:00,2019-07-14 22:30:00,,43.5887394,10.2991247
R6,13:13:00,HC,2019-07-17 00:00:00,2019-07-17 13:13:00,,43.5874994,10.2995666
R11,01:10:00,HC,2019-07-17 00:00:00,2019-07-17 01:10:00,,43.5994768,10.29433235
R11,02:00:00,Maleodoranza,2019-07-20 00:00:00,2019-07-20 02:00:00,,43.5994768,10.29433235
R5,02:15:00,HC,2019-07-22 00:00:00,2019-07-22 02:15:00,,43.5887394,10.2991247
R5,03:30:00,maleodoranza,2019-07-25 00:00:00,2019-07-25 03:30:00,,43.5887394,10.2991247
R11,23:00:00,gas,2019-08-01 00:00:00,2019-08-01 23:00:00,,43.5994768,10.29433235
R12,01:18:00,HC,2019-08-02 00:00:00,2019-08-02 01:18:00,,43.59137165,10.29860405
R3,08:48:00,HC,2019-08-02 00:00:00,2019-08-02 08:48:00,,43.5887394,10.2991247
R11,01:40:00,ennesima notte con aria irrespirabile,2019-08-06 00:00:00,2019-08-06 01:40:00,,43.5994768,10.29433235
R1,23:50:00,HC,2019-08-11 00:00:00,2019-08-11 23:50:00,,43.59087795,10.29880415
