"data_evento","end","geometry","meteo","recettore","start","uid"
"2019-06-26 22:00:00","2019-06-26 21:00:00","POLYGON ((10.25188064385918 43.67384042218603, 10.25081018937474 43.66647355899212, 10.25300241792092 43.65646040719535, 10.25629342534929 43.64420988537891, 10.26212291382038 43.63122543357152, 10.26563905310353 43.62020095831116, 10.27046920069387 43.60943831350415, 10.27114527721035 43.6047806730996, 10.27596960599296 43.6051478394934, 10.28642918376532 43.60325942853256, 10.29354303720356 43.59792478872214, 10.29808424212504 43.59356034331238, 10.29880415 43.59087795, 10.29880415 43.59087795, 10.29844887871321 43.59361204093899, 10.29383937399525 43.59808765977003, 10.28669600237314 43.60344734759583, 10.276059179038 43.60540989281958, 10.27110656108171 43.60504921940598, 10.27083875769715 43.60946663696966, 10.26599241312982 43.6202846710124, 10.26248506107729 43.63128638225321, 10.25664692546727 43.64429359907218, 10.25336743388994 43.65651210801674, 10.25117753631543 43.66651594659378, 10.2522505954189 43.67381209741209, 10.25188064385918 43.67384042218603))","ispra","R1","2019-06-26 19:00:00",0
"2019-06-26 22:00:00","2019-06-26 21:10:00","POLYGON ((10.24689505396903 43.67203160408816, 10.24908728251521 43.66201937939727, 10.25237828994358 43.64976999161124, 10.25820777841467 43.63678674149671, 10.26172391769782 43.62576328631194, 10.26655406528816 43.61500163715519, 10.26723014180464 43.61034442756722, 10.27205447058725 43.61071156000065, 10.28251404835961 43.60882332370239, 10.28962790179785 43.60348917726988, 10.29416910671934 43.59912513547308, 10.29488901459429 43.59644299020567, 10.29880415 43.59087795, 10.29880415 43.59087795, 10.29521980290994 43.59656592392459, 10.2945337769199 43.59917683301672, 10.2899242659709 43.60365204809165, 10.28278089164414 43.60901124251971, 10.27214405194153 43.61097361306127, 10.26719142208124 43.61061297360924, 10.26692365636119 43.61502996057479, 10.26207731032642 43.62584699888279, 10.25856995908092 43.63684769008166, 10.25273182269115 43.64985370517431, 10.24945233217049 43.66207108013621, 10.24726243481452 43.67207399162177, 10.24689505396903 43.67203160408816))","ispra","R1","2019-06-26 19:10:00",1
"2019-06-26 22:00:00","2019-06-26 21:20:00","POLYGON ((10.24623982048107 43.6638100182798, 10.24953082790944 43.65156099580869, 10.25536031638053 43.63857813280577, 10.25887645566368 43.62755500622674, 10.26370660325402 43.61679367780737, 10.2643826797705 43.61213660700208, 10.26920700855311 43.61250372849556, 10.27966658632547 43.61061554846286, 10.28678043976371 43.60528156096643, 10.2913216446852 43.60091764918893, 10.29204155256015 43.59823558382639, 10.29595668796586 43.59267070939855, 10.29880415 43.59087795, 10.29880415 43.59087795, 10.2961999222221 43.59287480541268, 10.29237235071008 43.59835851748632, 10.29168632571494 43.60096934670584, 10.28707681275843 43.60544443171537, 10.27993343756029 43.61080346720096, 10.26929659258444 43.61276578147064, 10.26434395888895 43.61240515295894, 10.26407620530357 43.61682200121216, 10.25922985879604 43.62763871875557, 10.25572250781053 43.63863908135956, 10.24988437116954 43.65164470932982, 10.24660488098932 43.66386171899216, 10.24623982048107 43.6638100182798))","ispra","R1","2019-06-26 19:20:00",2
"2019-06-26 22:00:00","2019-06-26 21:30:00","POLYGON ((10.24596273832827 43.65498692265818, 10.25179222679936 43.64200480017806, 10.25530836608251 43.63098230220334, 10.26013851367285 43.62022158733662, 10.26081459018933 43.61556478201479, 10.26563891897194 43.61593188258077, 10.2760984967443 43.61404381018095, 10.28321235018254 43.60871012672037, 10.28775355510403 43.60434646366258, 10.28847346297898 43.60166455115358, 10.29238859838469 43.59609999384946, 10.29523606041883 43.59430733660743, 10.29880415 43.59087795, 10.29880415 43.59087795, 10.29553238073199 43.59447020653558, 10.29263184650889 43.59630408970572, 10.288804279943 43.60178748470067, 10.28811825685118 43.60439816112837, 10.28350874005409 43.60887299732997, 10.27636536318891 43.61423172876751, 10.26572850812477 43.61619393539225, 10.26077586709211 43.61583332780877, 10.26050813672171 43.62024991071313, 10.25566178930971 43.63106601465182, 10.25215443882161 43.64206574867225, 10.24631630170001 43.6550706360991, 10.24596273832827 43.65498692265818))","ispra","R1","2019-06-26 19:30:00",3
"2019-06-26 22:00:00","2019-06-26 21:40:00","POLYGON ((10.24814764013822 43.64766059327106, 10.25166377942136 43.63663913290841, 10.2564939270117 43.62587943080869, 10.25717000352819 43.62122306370988, 10.26199433231079 43.62159012973165, 10.27245391008315 43.61970223499713, 10.27956776352139 43.61436905339648, 10.28410896844288 43.61000580089044, 10.28482887631784 43.60732414069076, 10.28874401172354 43.60176010685021, 10.29159147375768 43.59996761823391, 10.29515956333885 43.59653855419521, 10.29880415 43.59087795, 10.29880415 43.59087795, 10.29549606609713 43.5966530039587, 10.29188782191919 43.60013048793191, 10.28898728274249 43.6019642024459, 10.28515972434221 43.60744707405158, 10.28447370439262 43.61005749827186, 10.27986418125507 43.61453192377613, 10.27272080163776 43.61989015333357, 10.26208392991876 43.62185218227305, 10.2571312767731 43.62149160923498, 10.25686358472853 43.62590775413847, 10.25201723582334 43.63672284522429, 10.24850988615642 43.64772154166688, 10.24814764013822 43.64766059327106))","ispra","R1","2019-06-26 19:40:00",4
"2019-06-26 22:00:00","2019-06-26 21:50:00","POLYGON ((10.24693823340603 43.64365080969867, 10.25176838099637 43.63289236307549, 10.25244445751285 43.62823653921988, 10.25726878629546 43.62860356241893, 10.26772836406782 43.62671588792723, 10.27484221750606 43.62138332845729, 10.27938342242755 43.6170205848918, 10.2801033303025 43.61433923746739, 10.28401846570821 43.60877585253862, 10.28686592774235 43.60698357295926, 10.29043401732352 43.60355490879295, 10.29407860398467 43.59789496464109, 10.29880415 43.59087795, 10.29880415 43.59087795, 10.29441230726552 43.59801367609199, 10.29077055923679 43.60366935833887, 10.28716231043337 43.60714644237198, 10.28426176511462 43.60897994781132, 10.28043421683897 43.61446217059734, 10.27974820078549 43.61707228216864, 10.27513866978631 43.62154619855188, 10.26799528675659 43.62690380595362, 10.25735839438704 43.62886561462559, 10.25240572622234 43.62850508441172, 10.25213808169842 43.63292068634741, 10.24729173094178 43.64373452185017, 10.24693823340603 43.64365080969867))","ispra","R1","2019-06-26 19:50:00",5
"2019-06-26 22:00:00","2019-06-26 22:00:00","POLYGON ((10.249356887892 43.63681242391481, 10.25003296440849 43.6321569037495, 10.25485729319109 43.6325239030093, 10.26531687096345 43.63063635164037, 10.27243072440169 43.6253041399614, 10.27697192932318 43.62094168090996, 10.27769183719814 43.61826050833697, 10.28160697260384 43.61269748617068, 10.28445443463798 43.61090532344965, 10.28802252421915 43.60747688282484, 10.2916671108803 43.60181730765839, 10.29639265689563 43.59480075042026, 10.29880415 43.59087795, 10.29880415 43.59087795, 10.29673185422002 43.59491090282659, 10.29200083586911 43.60193601898397, 10.2883590880253 43.60759133224914, 10.28475083663562 43.61106819270292, 10.28185028788264 43.61290158126284, 10.27802274526801 43.61838344133786, 10.27733673139298 43.62099337812834, 10.27272719599809 43.62546700989665, 10.26558381106038 43.63082426949346, 10.25494690714442 43.63278595502882, 10.24999423058206 43.63242544875506, 10.24972661262854 43.63684074715437, 10.249356887892 43.63681242391481))","ispra","R1","2019-06-26 20:00:00",6
"2019-06-26 22:00:00","2019-06-26 22:10:00","POLYGON ((10.24898198430756 43.63835185290922, 10.25380631309016 43.63871881433677, 10.26426589086252 43.63683145754413, 10.27137974430076 43.63149979549436, 10.27592094922225 43.62713778607289, 10.27664085709721 43.62445688982521, 10.28055599250291 43.61889444094829, 10.28340345453705 43.61710246290363, 10.28697154411822 43.61367437555122, 10.29061613077937 43.60801538350857, 10.2953416767947 43.60099954912441, 10.29775316989907 43.59707715279514, 10.29880415 43.59087795, 10.29880415 43.59087795, 10.29812191198927 43.59711017520281, 10.29568090898272 43.60110970134448, 10.29094989008001 43.60813409463611, 10.28730814252848 43.61378882478333, 10.28369988705091 43.61726533190492, 10.28079933286975 43.61909853575515, 10.27697179920302 43.62457982262219, 10.27628578877125 43.6271894831989, 10.27167624642847 43.63166266517783, 10.26453285847495 43.63701937512334, 10.2538959363086 43.63898086606061, 10.24894324647285 43.63862039762041, 10.24898198430756 43.63835185290922))","ispra","R1","2019-06-26 20:10:00",7
"2019-06-26 22:00:00","2019-06-26 22:20:00","POLYGON ((10.25115580050414 43.64587717410707, 10.2616153782765 43.6439900421792, 10.26872923171474 43.63865901531605, 10.27327043663623 43.6342975255157, 10.27399034451118 43.63161694860719, 10.27790547991689 43.62605516226014, 10.28075294195103 43.62426339763927, 10.2843210315322 43.62083571855108, 10.28796561819335 43.6151774004036, 10.29269116420868 43.60816240139583, 10.29510265731305 43.60424047206004, 10.29615363741398 43.59804200726244, 10.29880415 43.59087795, 10.29880415 43.59087795, 10.29651242821998 43.59811212663805, 10.29547144315867 43.60427349439898, 10.29303043669629 43.60827255340069, 10.28829941715575 43.61529611130233, 10.28465766994207 43.62095016756111, 10.28104940973922 43.62442626634938, 10.27814884928352 43.62625925673733, 10.27432132595985 43.63173988116852, 10.27363531950822 43.63434922253496, 10.26902576913421 43.63882188470858, 10.26188237769466 43.64417795944198, 10.25124543443233 43.64613922548922, 10.25115580050414 43.64587717410707))","ispra","R1","2019-06-26 20:20:00",8
"2019-06-26 22:00:00","2019-06-26 22:30:00","POLYGON ((10.25978987233091 43.64928810268322, 10.26690372576915 43.64395754597455, 10.27144493069064 43.63959644078906, 10.27216483856559 43.63691610025007, 10.2760799739713 43.63135480429654, 10.27892743600544 43.62956319764842, 10.28249552558661 43.62613582075058, 10.28614011224776 43.62047800140916, 10.29086565826309 43.61346362073315, 10.29327715136746 43.60954203705822, 10.29432813146839 43.60334411851422, 10.29697864405441 43.59618069252308, 10.29880415 43.59087795, 10.29880415 43.59087795, 10.29733905825955 43.59624623505426, 10.2946869537982 43.60341423778426, 10.29364596960684 43.60957505934627, 10.29120496058598 43.61357377257874, 10.28647394057323 43.62059671213854, 10.28283219360968 43.62625026959627, 10.27922392990851 43.62972606614304, 10.27632336480753 43.63155889852973, 10.27249584914122 43.63703903263699, 10.27180984563625 43.63964813772932, 10.26720028931641 43.64412041515173, 10.26005689529604 43.64947601971179, 10.25978987233091 43.64928810268322))","ispra","R1","2019-06-26 20:30:00",9
"2019-06-26 22:00:00","2019-06-26 22:40:00","POLYGON ((10.2642715601266 43.64948907855626, 10.26881276504809 43.64512837493879, 10.26953267292305 43.64244828118811, 10.27344780832875 43.63688749724388, 10.27629527036289 43.6350960555317, 10.27986335994406 43.63166899414432, 10.28350794660521 43.62601169559551, 10.28823349262054 43.61899796050636, 10.29064498572491 43.61507673772849, 10.29169596582584 43.60887938951613, 10.29434647841186 43.60171662262184, 10.29617198435746 43.59641436794097, 10.29880415 43.59087795, 10.29880415 43.59087795, 10.29652313667865 43.59650255785338, 10.29470692567602 43.60178216504951, 10.29205482107493 43.60894950867594, 10.29101383779203 43.61510975996342, 10.28857282609943 43.61910811218565, 10.28384180559356 43.62613040614809, 10.28020005889121 43.63178344281842, 10.27659179153687 43.63525892380133, 10.27369122158498 43.63709159122235, 10.26986371391499 43.64257121339295, 10.26917771348712 43.64518007179657, 10.26456815095824 43.64965194750863, 10.2642715601266 43.64948907855626))","ispra","R1","2019-06-26 20:40:00",10
"2019-06-26 22:00:00","2019-06-26 22:50:00","POLYGON ((10.2678042057002 43.64856182056113, 10.26852411357516 43.64588187999442, 10.27243924898087 43.64032141385952, 10.27528671101501 43.63853007452474, 10.27885480059618 43.63510320897787, 10.28249938725732 43.62944623369032, 10.28722493327266 43.62243289932351, 10.28963642637703 43.61851190055813, 10.29068740647795 43.61231490635642, 10.29333791906397 43.60515254857025, 10.29516342500957 43.59985059669804, 10.29779559065211 43.59431449490726, 10.29880415 43.59087795, 10.29880415 43.59087795, 10.29815893033985 43.59437082536166, 10.29551459732941 43.59993878652573, 10.29369838685127 43.60521809093367, 10.29104628216344 43.61238502544783, 10.2900052994445 43.6185449227601, 10.28756428609328 43.6225430508996, 10.28283326528127 43.62956494413316, 10.27919151874107 43.63521765754547, 10.27558324911884 43.63869294265473, 10.27268267615549 43.64052550767989, 10.26885517344964 43.64600481208625, 10.26816917493204 43.64861351736773, 10.2678042057002 43.64856182056113))","ispra","R1","2019-06-26 20:50:00",11
"2019-06-26 22:00:00","2019-06-26 23:00:00","POLYGON ((10.2666919886271 43.64996201463806, 10.27060712403281 43.64440192618095, 10.27345458606695 43.64261070850929, 10.27702267564812 43.63918407569511, 10.28066726230927 43.63352748456435, 10.2853928083246 43.62651462640737, 10.28780430142897 43.62259389385366, 10.2888552815299 43.61639732035073, 10.29150579411592 43.60923544873999, 10.29333130006151 43.60393385671915, 10.29596346570405 43.59839813063455, 10.29697202505194 43.59496181892838, 10.29880415 43.59087795, 10.29880415 43.59087795, 10.29732523935335 43.59504552756063, 10.29632682997088 43.59845446102283, 10.29368249615029 43.60402204644617, 10.29186628629553 43.60930099102704, 10.28921418150459 43.61646743936083, 10.28817319945596 43.62262691601646, 10.28573218413341 43.62662477786082, 10.28100116295756 43.63364619487679, 10.27735941661007 43.63929852413616, 10.27375114429239 43.64277357647335, 10.27085056774983 43.64460601981346, 10.26702307094399 43.65008494659561, 10.2666919886271 43.64996201463806))","ispra","R1","2019-06-26 21:00:00",12
"2019-06-26 22:00:00","2019-06-26 23:10:00","POLYGON ((10.26878843130014 43.6501021973923, 10.27163589333428 43.64831114969311, 10.27520398291545 43.64488484202393, 10.2788485695766 43.63922878758896, 10.28357411559193 43.63221659473289, 10.2859856086963 43.62829623409682, 10.28703658879723 43.62210024834161, 10.28968710138325 43.61493905595448, 10.29151260732885 43.60963796667311, 10.29414477297139 43.60410276547831, 10.29515333231928 43.60066677957162, 10.29698545726734 43.59658329781148, 10.29880415 43.59087795, 10.29880415 43.59087795, 10.29734739749116 43.59664424439088, 10.29550658001602 43.60075048806967, 10.29450817158266 43.60415909577421, 10.29186383663004 43.6097261562595, 10.29004762764631 43.61500459813489, 10.2873955227113 43.62217036723815, 10.28635454159928 43.62832925620489, 10.28391352352219 43.63232674601502, 10.27918250183793 43.63934749771924, 10.27554075575975 43.6449992902882, 10.27193247967567 43.64847401742537, 10.26903189813188 43.65030629076235, 10.26878843130014 43.6501021973923))","ispra","R1","2019-06-26 21:10:00",13
"2019-06-26 22:00:00","2019-06-26 23:20:00","POLYGON ((10.27051922697706 43.65489149236812, 10.27408731655822 43.6514655600744, 10.27773190321937 43.64581012524746, 10.28245744923471 43.63879870047236, 10.28486894233908 43.63487876921025, 10.28591992244 43.62868346200197, 10.28857043502602 43.62152305376947, 10.29039594097162 43.61622254489414, 10.29302810661416 43.6106879496777, 10.29403666596204 43.60725233990225, 10.2958687909101 43.60316930512275, 10.29768748364277 43.59746458176645, 10.29880415 43.59087795, 10.29880415 43.59087795, 10.29805622808098 43.59749760427708, 10.29623077062965 43.60323025158728, 10.29438995222115 43.60733604824537, 10.29339154488375 43.61074427986699, 10.29074720862395 43.61631073431817, 10.28893100064603 43.62158859582678, 10.28627889554464 43.62875358076742, 10.28523791551415 43.63491179125516, 10.28279689425633 43.63890885155671, 10.27806587198502 43.64592883516747, 10.27442412621778 43.65158000813459, 10.27081584578457 43.6550543598328, 10.27051922697706 43.65489149236812))","ispra","R1","2019-06-26 21:20:00",14
