"recettore","data_evento","source","meteo","numero_intersezioni"
"R1","2019-06-26 22:00:00","Costieri D’Alesio","ispra",4
"R1","2019-06-26 22:00:00","Costieri D’Alesio","lamma",2
"R1","2019-06-26 22:00:00","Depositi Costieri del Tirreno","ispra",2
"R1","2019-06-26 22:00:00","Depositi Costieri del Tirreno","lamma",2
"R1","2019-06-26 22:00:00","Raffineria ENI","ispra",6
"R1","2019-06-26 22:00:00","Raffineria ENI","lamma",7
"R1","2019-06-26 22:00:00","Toscopetrol","ispra",3
"R1","2019-06-26 22:00:00","Toscopetrol","lamma",2
"R1","2019-06-30 05:54:00","Costieri D’Alesio","eni",1
"R1","2019-06-30 05:54:00","Raffineria ENI","eni",1
"R1","2019-06-30 05:54:00","Toscopetrol","eni",1
"R1","2019-07-01 08:56:00","Costieri D’Alesio","ispra",1
"R1","2019-07-01 08:56:00","Costieri D’Alesio","lamma",1
"R1","2019-07-01 08:56:00","Costiero gas","lamma",1
"R1","2019-07-01 08:56:00","Depositi Neri","ispra",1
"R1","2019-07-01 08:56:00","Raffineria ENI","ispra",1
"R1","2019-07-01 08:56:00","Raffineria ENI","lamma",1
"R1","2019-07-01 08:56:00","SAI","lamma",1
"R1","2019-07-03 01:14:00","Costieri D’Alesio","eni",1
"R1","2019-07-03 01:14:00","Costieri D’Alesio","ispra",1
"R1","2019-07-03 01:14:00","Costieri D’Alesio","lamma",1
"R1","2019-07-03 01:14:00","Costiero gas","eni",1
"R1","2019-07-03 01:14:00","Costiero gas","lamma",1
"R1","2019-07-03 01:14:00","Depositi Neri","eni",1
"R1","2019-07-03 01:14:00","Depositi Neri","ispra",1
"R1","2019-07-03 01:14:00","Depositi Neri","lamma",1
"R1","2019-07-03 01:14:00","Raffineria ENI","eni",1
"R1","2019-07-03 01:14:00","Raffineria ENI","ispra",1
"R1","2019-07-03 01:14:00","SAI","eni",1
"R1","2019-07-03 01:14:00","SAI","lamma",1
"R1","2019-07-06 02:05:00","SAI","eni",1
"R1","2019-07-06 02:05:00","SAI","ispra",1
"R1","2019-07-07 02:33:00","Raffineria ENI","eni",1
"R1","2019-07-07 02:33:00","SAI","ispra",1
"R1","2019-07-08 07:00:00","Costieri D’Alesio","eni",1
"R1","2019-07-08 07:00:00","Costieri D’Alesio","ispra",1
"R1","2019-07-08 07:00:00","Costiero gas","eni",1
"R1","2019-07-08 07:00:00","Costiero gas","ispra",1
"R1","2019-07-08 07:00:00","Depositi Neri","ispra",1
"R1","2019-07-08 07:00:00","Raffineria ENI","ispra",1
"R1","2019-07-08 07:00:00","SAI","ispra",1
"R1","2019-07-10 06:31:00","Raffineria ENI","eni",1
"R1","2019-07-12 01:17:00","Costieri D’Alesio","ispra",1
"R1","2019-07-12 01:17:00","Costiero gas","ispra",1
"R1","2019-07-12 01:17:00","Depositi Neri","eni",1
"R1","2019-07-12 01:17:00","Depositi Neri","ispra",1
"R1","2019-07-12 01:17:00","SAI","eni",1
"R1","2019-07-12 01:17:00","SAI","ispra",1
"R1","2019-07-12 01:17:00","SAI","lamma",1
"R1","2019-07-14 22:17:00","Costieri D’Alesio","lamma",1
"R1","2019-07-14 22:17:00","Depositi Neri","lamma",1
"R1","2019-07-14 22:17:00","SAI","lamma",1
"R1","2019-08-11 23:50:00","Costieri D’Alesio","eni",1
"R1","2019-08-11 23:50:00","Raffineria ENI","eni",1
"R1","2019-08-11 23:50:00","Raffineria ENI","ispra",1
"R1","2019-08-11 23:50:00","Raffineria ENI","lamma",1
"R1","2019-08-11 23:50:00","Toscopetrol","eni",1
"R1","2019-08-12 00:00:00","Costieri D’Alesio","eni",6
"R1","2019-08-12 00:00:00","Costieri D’Alesio","ispra",17
"R1","2019-08-12 00:00:00","Costieri D’Alesio","lamma",12
"R1","2019-08-12 00:00:00","Costiero gas","eni",2
"R1","2019-08-12 00:00:00","Costiero gas","ispra",13
"R1","2019-08-12 00:00:00","Costiero gas","lamma",9
"R1","2019-08-12 00:00:00","Depositi Costieri del Tirreno","eni",3
"R1","2019-08-12 00:00:00","Depositi Costieri del Tirreno","ispra",3
"R1","2019-08-12 00:00:00","Depositi Costieri del Tirreno","lamma",3
"R1","2019-08-12 00:00:00","Depositi Neri","eni",2
