"recettore","data_evento","source","meteo","numero_intersezioni"
"R1","2019-06-26 22:00:00","A","ispra",6
"R1","2019-06-26 22:00:00","A","lamma",7
"R1","2019-06-26 22:00:00","B","ispra",4
"R1","2019-06-26 22:00:00","B","lamma",2
"R1","2019-06-26 22:00:00","C","ispra",3
"R1","2019-06-26 22:00:00","C","lamma",2
"R1","2019-06-26 22:00:00","G","ispra",2
"R1","2019-06-26 22:00:00","G","lamma",2
"R1","2019-06-29 22:41:00","A","eni",1
"R1","2019-06-29 22:41:00","B","eni",1
"R1","2019-06-29 22:41:00","D","eni",1
"R1","2019-06-29 22:41:00","F","eni",1
"R1","2019-06-30 05:54:00","A","eni",1
"R1","2019-06-30 05:54:00","B","eni",1
"R1","2019-06-30 05:54:00","C","eni",1
"R1","2019-07-01 08:56:00","A","ispra",1
"R1","2019-07-01 08:56:00","A","lamma",1
"R1","2019-07-01 08:56:00","B","ispra",1
"R1","2019-07-01 08:56:00","B","lamma",1
"R1","2019-07-01 08:56:00","D","ispra",1
"R1","2019-07-01 08:56:00","E","lamma",1
"R1","2019-07-01 08:56:00","F","lamma",1
"R1","2019-07-03 01:14:00","A","eni",1
"R1","2019-07-03 01:14:00","A","ispra",1
"R1","2019-07-03 01:14:00","B","eni",1
"R1","2019-07-03 01:14:00","B","ispra",1
"R1","2019-07-03 01:14:00","B","lamma",1
"R1","2019-07-03 01:14:00","D","eni",1
"R1","2019-07-03 01:14:00","D","ispra",1
"R1","2019-07-03 01:14:00","D","lamma",1
"R1","2019-07-03 01:14:00","E","eni",1
"R1","2019-07-03 01:14:00","E","ispra",1
"R1","2019-07-03 01:14:00","E","lamma",1
"R1","2019-07-03 01:14:00","F","eni",1
"R1","2019-07-03 01:14:00","F","ispra",1
"R1","2019-07-03 01:14:00","F","lamma",1
"R1","2019-07-06 02:05:00","E","eni",1
"R1","2019-07-06 02:05:00","E","ispra",1
"R1","2019-07-07 02:33:00","A","eni",1
"R1","2019-07-07 02:33:00","E","ispra",1
"R1","2019-07-08 07:00:00","A","eni",1
"R1","2019-07-08 07:00:00","A","ispra",1
"R1","2019-07-08 07:00:00","B","eni",1
"R1","2019-07-08 07:00:00","B","ispra",1
"R1","2019-07-08 07:00:00","D","ispra",1
"R1","2019-07-08 07:00:00","E","ispra",1
"R1","2019-07-08 07:00:00","F","eni",1
"R1","2019-07-08 07:00:00","F","ispra",1
"R1","2019-07-10 06:31:00","A","eni",1
"R1","2019-07-12 01:17:00","B","ispra",1
"R1","2019-07-12 01:17:00","D","eni",1
"R1","2019-07-12 01:17:00","D","ispra",1
"R1","2019-07-12 01:17:00","E","eni",1
"R1","2019-07-12 01:17:00","E","ispra",1
"R1","2019-07-12 01:17:00","E","lamma",1
"R1","2019-07-12 01:17:00","F","ispra",1
"R1","2019-07-14 22:17:00","B","lamma",1
"R1","2019-07-14 22:17:00","D","lamma",1
"R1","2019-07-14 22:17:00","E","lamma",1
"R1","2019-08-11 23:50:00","A","eni",1
"R1","2019-08-11 23:50:00","A","ispra",1
"R1","2019-08-11 23:50:00","A","lamma",1
"R1","2019-08-11 23:50:00","B","eni",1
"R1","2019-08-11 23:50:00","C","eni",1
"R1","2019-08-11 23:50:00","D","eni",1
"R1","2019-08-11 23:50:00","E","eni",1
"R1","2019-08-11 23:50:00","F","eni",1
"R1","2019-08-12 00:00:00","A","eni",16
"R1","2019-08-12 00:00:00","A","ispra",9
"R1","2019-08-12 00:00:00","A","lamma",6
"R1","2019-08-12 00:00:00","B","eni",10
"R1","2019-08-12 00:00:00","B","ispra",17
"R1","2019-08-12 00:00:00","B","lamma",12
