trasferimento_da,trasferimento_a,prodotto_trasferito,quantità,data_inizio,data_fine,durata,portata,flusso_odore,serbatoio,temperatura,tetto_serbatoio,note
ENI ,Toscopetrol,Bitume,1177 – 1070,2019-09-16 17:00:00,2019-09-17 02:25:00,00:09:25,114,14,"TK 20, TK 21",,F,no segnalazioni 
ENI ,D’Alesio,Olio combustibile ATZ,4288,2019-09-16 01:00:00,2019-09-17 12:00:00,01:11:00,123,4,38,61,F,non tornano i venti 
ENI ,D’Alesio,Olio combustibile ATZ,10501,2019-09-18 20:10:00,2019-09-19 20:15:00,01:00:05,436,15,02 – 38,"59,5 – 61",F,non tornano i venti 
ENI ,Toscopetrol,Bitume,1001 – 910,2019-09-20 21:20:00,2019-09-21 05:33:00,00:08:13,111,13,"TK 20, TK 21",,F,segnalazioni dopo fine trasferimento
ENI,Toscopetrol,Bitume,5445 - 4950,2019-10-10 09:25:00,2019-10-11 17:39:00,01:08:14,154,19,"TK 20, TK 21",,F,segnalazioni dopo fine trasferimento
ENI,D’Alesio,Olio combustibile ATZ,1201,2019-11-25 17:20:00,2019-11-26 06:00:00,00:12:40,95,3,38,45,F,Possibile ma venti bassissimi errore
ENI,D’Alesio,Olio combustibile ATZ,9769,2019-11-26 08:00:00,2019-11-27 10:40:00,02:02:40,193,7,02 – 38,40-48,F,non tornano i venti 
ENI,Toscopetrol,Bitume,979 – 890,2019-11-26 20:10:00,2019-11-27 06:01:00,00:09:51,90,11,"TK 20, TK 21",,F,segnalazioni dopo fine trasferimento
ENI,D’Alesio,Olio combustibile ATZ,5516,2020-01-31 16:00:00,2020-02-01 17:00:00,01:01:00,221,8,02 – 38,"47,5 – 49 °C",F,Episodio analizzato e inviato a voi relazione. OK
nave,D’Alesio,Olio combustibile BTZ,14786,2020-01-31 18:30:00,2020-02-01 22:48:00,01:04:18,523,17,39 – 40,44 – 49 °C,F,
